Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
9/11/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",325,186,565,364,214,617,350,203,602,332,198,558,294,167,517,272,150,496
9/12/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",343,195,604,342,206,567,470,273,809,318,190,531,312,174,560,278,148,523
9/13/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",328,185,582,365,207,643,380,219,657,334,194,574,272,154,483,269,146,496
9/14/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",316,178,560,366,217,615,323,183,570,310,183,523,298,157,565,260,146,463
9/15/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",323,181,575,352,225,551,388,199,757,315,179,555,295,169,512,232,131,410
9/16/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",304,170,543,246,137,441,311,180,538,337,194,582,294,163,528,289,158,527
9/17/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",302,173,526,271,164,447,317,195,516,307,172,548,311,172,561,280,164,477
9/18/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",350,202,607,349,224,545,396,214,730,369,225,604,344,201,588,268,140,510
9/19/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",330,185,587,369,225,605,328,187,577,342,196,599,311,171,565,278,146,530
9/20/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",329,187,577,371,226,609,423,241,743,307,183,515,293,166,516,260,146,464
9/21/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",342,191,612,391,225,681,425,235,771,316,186,536,308,177,535,253,135,474
9/22/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",351,196,629,320,193,531,468,263,830,319,191,532,335,187,598,280,133,589
9/23/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",270,149,489,231,137,389,245,146,410,298,157,566,255,147,441,272,147,502
9/24/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",291,173,489,273,159,469,279,173,450,306,184,510,293,172,499,278,162,474
9/25/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",327,198,538,314,190,517,343,208,563,347,218,551,319,196,518,269,150,484
9/26/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",321,186,554,329,199,544,389,227,667,316,187,534,289,170,493,251,141,449
9/27/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",298,176,505,306,187,498,298,170,521,302,184,494,297,173,512,262,144,479
9/28/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",303,178,517,318,192,529,324,188,556,306,179,523,275,164,462,285,163,497
9/29/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",330,174,622,284,167,482,355,178,707,369,187,728,299,169,527,236,141,392
9/30/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",288,166,500,279,161,481,308,183,516,291,160,529,290,171,493,272,162,458
10/1/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",296,168,523,255,132,492,331,190,579,302,175,521,301,179,506,273,153,486
10/2/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",312,179,544,311,186,517,310,184,522,325,191,553,308,175,540,294,144,600
10/3/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",320,181,567,362,214,614,327,190,560,323,193,541,307,163,577,234,135,407
10/4/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",318,181,557,380,226,640,305,173,538,318,188,536,290,163,516,264,140,495
10/5/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",339,190,604,362,222,588,427,224,814,325,192,550,307,173,544,222,125,396
10/6/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",325,185,570,375,216,652,346,201,597,306,181,517,281,162,487,287,147,560
10/7/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",285,164,496,229,133,394,316,183,544,304,173,537,278,164,472,262,155,442
10/8/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",295,177,491,285,178,456,303,186,494,334,201,555,284,174,464,261,152,447
10/9/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",332,196,564,354,221,568,336,200,565,373,219,636,302,181,505,270,150,486
10/10/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",323,186,560,355,210,599,381,223,650,309,189,506,300,177,510,231,107,496
10/11/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",315,182,547,353,210,592,314,183,539,311,181,534,302,175,519,282,147,541
10/12/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",314,178,554,322,205,506,329,173,623,321,185,556,293,163,526,273,143,519
10/13/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",309,181,529,337,197,578,339,199,578,308,186,511,269,158,457,257,143,460
10/14/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",278,147,526,239,139,409,305,172,543,287,141,586,271,153,481,268,143,503
10/15/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",294,163,531,292,148,575,315,183,541,328,175,617,276,163,469,260,145,466
10/16/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",323,183,569,362,219,598,356,209,605,336,199,565,296,165,532,232,122,441
10/17/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",306,171,547,330,199,545,332,193,569,308,171,553,282,148,540,263,154,448
10/18/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",303,172,531,352,211,586,302,180,506,305,177,526,277,150,512,249,140,441
10/19/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",307,178,531,333,205,542,317,181,556,299,179,499,287,161,512,295,151,575
10/20/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",299,176,510,318,195,517,302,177,514,301,177,511,288,165,503,274,157,477
10/21/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",271,154,475,258,146,455,287,152,541,275,163,466,261,153,443,266,149,472
10/22/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",283,165,485,269,158,459,295,177,491,295,176,495,277,159,481,274,156,481
10/23/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",337,194,587,388,239,631,341,201,578,369,219,622,285,171,477,272,132,561
10/24/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",305,179,520,322,202,514,356,202,628,297,183,481,281,162,487,235,134,412
10/25/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",301,180,505,324,203,518,321,191,537,309,190,502,271,162,451,244,129,459
10/26/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",298,172,516,371,223,617,291,172,494,299,182,491,262,159,431,233,110,492
10/29/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",302,167,544,354,200,628,317,181,555,295,172,506,269,140,518,271,151,486
10/30/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",284,155,518,220,104,465,299,176,508,299,162,550,284,169,478,270,148,490
10/31/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",303,172,535,257,155,424,330,189,576,330,180,603,295,170,510,269,157,462
11/1/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",326,189,564,368,223,608,326,192,554,325,191,552,321,182,563,275,153,492
11/2/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",319,179,569,363,206,638,362,206,637,299,171,521,300,175,514,251,121,519
11/3/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",313,184,532,352,217,570,365,210,634,294,175,493,283,168,476,251,152,414
11/4/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",319,185,550,380,221,654,342,199,586,308,190,500,273,157,475,246,140,431
11/5/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",319,185,551,390,234,652,313,184,532,308,186,511,296,173,505,246,131,461
11/6/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",285,165,492,269,146,495,295,176,493,297,172,513,270,163,449,261,151,452
11/7/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",275,159,476,247,152,400,265,155,454,297,169,522,279,165,471,255,139,466
11/8/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",310,172,561,350,205,599,322,190,545,313,172,569,288,157,530,241,125,465
11/9/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",298,165,538,320,188,546,337,190,595,295,164,529,265,147,480,242,125,469
11/10/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",298,170,524,333,190,583,316,185,539,282,164,483,282,158,505,252,140,454
11/11/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",300,168,534,319,190,535,296,165,529,304,176,523,277,144,529,301,165,549
11/12/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",302,163,560,370,208,659,292,165,518,275,154,491,272,146,504,358,162,788
11/13/2018,245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",302,"Northeastern University, 360 Huntington Ave, Boston, MA",260,151,450,222,128,386,281,171,462,262,153,445,254,144,449,272,155,479
